,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Deputatskiy,RU,69.3,139.9,22.75,82,100,13.27,overcast clouds
80,Benghazi,LY,32.1167,20.0667,63.16,87,99,16.98,overcast clouds
81,Saint-Augustin,CA,51.226,-58.6502,34.0,79,33,8.66,scattered clouds
82,Thompson,CA,55.7435,-97.8558,23.0,68,75,2.3,broken clouds
83,Talnakh,RU,69.4865,88.3972,15.35,83,99,13.02,overcast clouds
84,Avarua,CK,-21.2078,-159.775,80.6,78,75,13.8,light rain
85,Port Alfred,ZA,-33.5906,26.891,63.82,68,49,9.31,scattered clouds
86,Ambilobe,MG,-13.2,49.05,78.12,78,82,3.22,broken clouds
87,Esperance,AU,-33.8667,121.9,82.4,26,29,8.05,scattered clouds
88,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,20,4.61,few clouds
89,Mahebourg,MU,-20.4081,57.7,78.8,78,75,17.27,light rain
90,Pevek,RU,69.7008,170.3133,27.45,93,100,4.72,light snow
91,Khatanga,RU,71.9667,102.5,20.7,91,100,18.79,light snow
92,Bengkulu,ID,-3.8004,102.2655,84.47,66,57,6.96,broken clouds
93,Srednekolymsk,RU,67.45,153.6833,21.24,79,100,7.96,overcast clouds
94,New Norfolk,AU,-42.7826,147.0587,63.0,76,98,5.01,light rain
95,East London,ZA,-33.0153,27.9116,59.0,67,0,9.22,clear sky
96,Remedios,CU,22.4947,-79.5458,71.6,53,20,4.61,few clouds
97,Bitung,ID,1.4451,125.1824,91.4,58,40,10.36,scattered clouds
98,Mount Isa,AU,-20.7333,139.5,89.6,29,40,12.66,scattered clouds
99,Mackenzie,CA,55.2999,-123.1698,35.6,41,1,4.61,clear sky
100,Harper,LR,4.375,-7.7169,79.34,86,100,6.71,moderate rain
101,Mehamn,NO,71.0357,27.8492,32.16,72,100,13.42,overcast clouds
102,Romny,UA,50.751,33.4747,38.77,65,2,11.72,clear sky
103,Lebu,CL,-37.6167,-73.65,53.02,86,3,13.47,clear sky
104,Belmonte,BR,-15.8631,-38.8828,73.4,88,0,4.61,clear sky
105,Kapaa,US,22.0752,-159.319,75.2,73,40,16.11,light rain
106,Pisco,PE,-13.7,-76.2167,64.99,88,0,5.75,smoke
107,Tarata,BO,-17.6167,-66.0167,55.0,93,75,3.44,broken clouds
108,Wanning,CN,18.8003,110.3967,86.92,66,39,11.65,scattered clouds
109,Nisia Floresta,BR,-6.0911,-35.2086,75.2,94,40,27.63,scattered clouds
110,Inongo,CD,-1.95,18.2667,70.39,93,81,1.79,broken clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,71.89,84,8,8.43,clear sky
112,Saint-Joseph,RE,-21.3667,55.6167,81.0,69,0,28.77,light rain
113,Hofn,IS,64.2539,-15.2082,44.92,86,100,3.85,light rain
114,Rikitea,PF,-23.1203,-134.9692,78.66,76,100,12.82,light rain
115,Georgetown,MY,5.4112,100.3354,89.01,70,40,6.91,scattered clouds
116,Vanimo,PG,-2.6741,141.3028,77.76,90,100,3.87,overcast clouds
117,Acari,PE,-15.4311,-74.6158,68.74,83,6,2.46,clear sky
118,Nikolskoye,RU,59.7035,30.7861,37.0,93,90,11.18,overcast clouds
119,Vandra,EE,58.6481,25.0361,34.0,100,100,3.0,overcast clouds
120,Naze,JP,28.3667,129.4833,77.0,57,20,17.27,few clouds
121,Flin Flon,CA,54.7682,-101.865,21.34,66,32,4.79,scattered clouds
122,Mozarlandia,BR,-14.7447,-50.5706,71.71,64,5,3.65,clear sky
123,Hovd,MN,48.0056,91.6419,34.65,20,94,1.43,overcast clouds
124,Chumikan,RU,54.7183,135.315,38.25,49,99,9.73,overcast clouds
