City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
224,Weiser,1,US,2021-04-20 23:40:55,19,44.251,-116.9693,62.6,4.61
225,Olafsvik,63,IS,2021-04-20 23:40:56,82,64.8945,-23.7142,39.61,11.25
226,Dalbandin,0,PK,2021-04-20 23:40:56,19,28.8947,64.4101,69.31,2.3
227,Bronnoysund,75,NO,2021-04-20 23:40:56,93,65.4625,12.1997,41.0,4.61
228,Jalu,51,LY,2021-04-20 23:40:57,44,29.0331,21.5482,61.47,10.76
229,Alta,10,NO,2021-04-20 23:40:57,52,69.9689,23.2717,41.0,9.22
230,Contamana,98,PE,2021-04-20 23:40:58,71,-7.3333,-75.0167,80.58,4.76
231,San Quintin,28,MX,2021-04-20 23:40:58,68,30.4833,-115.95,63.32,13.58
232,Leningradskiy,53,RU,2021-04-20 23:40:59,72,69.3833,178.4167,35.85,7.52
233,Imbituba,40,BR,2021-04-20 23:40:59,83,-28.24,-48.6703,68.0,12.66
234,Bezhanitsy,100,RU,2021-04-20 23:41:00,88,56.9767,29.8907,41.68,3.31
235,Lompoc,58,US,2021-04-20 23:41:00,71,34.6391,-120.4579,55.4,12.66
236,Adrar,94,MR,2021-04-20 23:41:00,7,20.5022,-10.0711,81.84,8.95
237,Udachnyy,96,RU,2021-04-20 23:41:01,91,66.4167,112.4,8.6,2.3
238,Makaha,90,US,2021-04-20 23:41:01,61,21.4694,-158.2175,80.6,10.36
239,Hasaki,20,JP,2021-04-20 23:41:02,59,35.7333,140.8333,64.99,13.8
240,Ambilobe,95,MG,2021-04-20 23:41:02,97,-13.2,49.05,71.11,4.43
241,Launceston,3,AU,2021-04-20 23:36:10,87,-41.45,147.1667,45.0,3.13
242,Tilichiki,72,RU,2021-04-20 23:41:03,90,60.4667,166.1,28.96,4.36
243,Nuevo Progreso,63,MX,2021-04-20 23:41:03,59,23.1667,-97.95,75.99,8.99
244,Pevek,17,RU,2021-04-20 23:41:03,66,69.7008,170.3133,31.14,21.09
245,Gobabis,0,NA,2021-04-20 23:41:04,37,-22.45,18.9667,59.04,11.3
246,Broken Hill,0,AU,2021-04-20 23:41:04,58,-31.95,141.4333,51.8,10.36
247,Fukue,75,JP,2021-04-20 23:41:05,88,32.6881,128.8419,62.6,3.44
248,Hobyo,95,SO,2021-04-20 23:41:05,72,5.3505,48.5268,83.32,9.26
249,Dargaville,8,NZ,2021-04-20 23:41:05,66,-35.9333,173.8833,69.22,6.44
250,Srednekolymsk,10,RU,2021-04-20 23:41:06,97,67.45,153.6833,36.0,10.74
251,Araouane,19,ML,2021-04-20 23:41:06,5,18.9048,-3.5265,82.08,6.96
252,Chenghai,0,CN,2021-04-20 23:41:07,68,23.4632,116.768,71.6,2.24
253,Victoria,65,HK,2021-04-20 23:39:56,78,22.2855,114.1577,75.0,16.31
254,Macalelon,100,PH,2021-04-20 23:41:07,74,13.7469,122.1386,82.89,9.64
255,Prince George,1,CA,2021-04-20 23:38:13,20,53.9166,-122.753,68.0,4.61
256,Key West,90,US,2021-04-20 23:41:08,83,24.5557,-81.7826,78.8,9.22
257,Ulladulla,0,AU,2021-04-20 23:41:08,47,-35.35,150.4667,59.0,11.5
258,Shenxian,100,CN,2021-04-20 23:41:09,81,36.2411,115.6672,50.43,8.08
259,Provideniya,0,RU,2021-04-20 23:41:09,59,64.3833,-173.3,30.2,4.47
260,Aswan,30,EG,2021-04-20 23:41:10,26,24.0934,32.907,85.78,6.96
261,Esperance,75,AU,2021-04-20 23:41:10,100,-33.8667,121.9,53.6,5.75
262,Sola,35,VU,2021-04-20 23:41:10,76,-13.8833,167.55,83.19,14.36
263,Calabozo,30,VE,2021-04-20 23:41:11,28,8.9242,-67.4293,86.99,4.34
264,Blankenburg,2,DE,2021-04-20 23:41:11,99,51.7833,10.95,44.01,2.48
265,Santa Maria,0,BR,2021-04-20 23:41:12,68,-29.6842,-53.8069,68.0,6.91
266,Fallon,40,US,2021-04-20 23:41:12,9,39.4735,-118.7774,73.4,11.5
267,Marienburg,6,PL,2021-04-20 23:41:12,100,54.0359,19.0266,45.0,3.47
268,Boyolangu,15,ID,2021-04-20 23:41:13,78,-8.1181,111.8935,76.03,0.31
269,Airai,90,TL,2021-04-20 23:41:13,68,-8.9266,125.4092,66.63,0.6
270,Chunskiy,68,RU,2021-04-20 23:41:13,78,56.0815,99.6342,20.59,9.91
271,Taoudenni,35,ML,2021-04-20 23:41:14,11,22.6783,-3.9836,84.54,4.43
272,Tautira,75,PF,2021-04-20 23:41:14,89,-17.7333,-149.15,80.01,10.36
273,Morondava,67,MG,2021-04-20 23:41:15,65,-20.2833,44.2833,76.71,5.19
274,Cidreira,38,BR,2021-04-20 23:41:15,72,-30.1811,-50.2056,70.3,18.12
275,Wajir,92,KE,2021-04-20 23:41:15,71,1.7471,40.0573,80.56,12.93
276,Bayan,7,CN,2021-04-20 23:41:16,17,46.0833,127.4,56.41,7.54
277,Wanning,85,CN,2021-04-20 23:41:16,80,18.8003,110.3967,78.62,8.72
278,Harrismith,8,ZA,2021-04-20 23:41:17,90,-28.2728,29.1295,46.24,2.35
279,Lagoa,100,PT,2021-04-20 23:41:17,90,39.05,-27.9833,61.16,19.01
280,Nanortalik,100,GL,2021-04-20 23:41:17,77,60.1432,-45.2371,35.29,6.93
281,Sabzevar,50,IR,2021-04-20 23:41:18,36,36.2126,57.6819,67.66,1.07
282,Kaabong,84,UG,2021-04-20 23:41:18,79,3.4836,34.1492,64.76,2.98
283,San Andres,20,CO,2021-04-20 23:41:19,74,12.5847,-81.7006,84.2,13.8
